what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1427958901727
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1427958901727
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1427958901728
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1427958901728
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1427958901728
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1427958901728
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1427958901728
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1427958901728
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1427958901728
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1427958901728
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1427958901728
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1427958901728
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1427958901728
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1427958901728
os,sysinfo,,,"win32",1427958901731
arch,sysinfo,,,"x86_64",1427958901731
ws,sysinfo,,,"win32",1427958901731
locale,sysinfo,,,"en_US",1427958901731
processors,sysinfo,,,"2",1427958901731
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1427958901731
java.runtime.version,sysinfo,,,"1.7.0_10-b18",1427958901731
java.specification.name,sysinfo,,,"Java Platform API Specification",1427958901731
java.specification.vendor,sysinfo,,,"Oracle Corporation",1427958901731
java.specification.version,sysinfo,,,"1.7",1427958901731
java.vendor,sysinfo,,,"Oracle Corporation",1427958901731
java.version,sysinfo,,,"1.7.0_10",1427958901731
java.vm.info,sysinfo,,,"mixed mode",1427958901731
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1427958901731
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1427958901731
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1427958901731
java.vm.specification.version,sysinfo,,,"1.7",1427958901731
java.vm.vendor,sysinfo,,,"Oracle Corporation",1427958901731
java.vm.version,sysinfo,,,"23.6-b04",1427958901731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427958944776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427958944937
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1427958945558
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1427958945630
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1427958947283
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1427958947290
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1427958947293
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1427958947294
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1427958947356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959008187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959010223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959037037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959039355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959040621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959042946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959046047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959046953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959047557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959051790
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1427959055050
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1427959055508
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1427959055878
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1427959055880
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1427959055887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959073807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959075576
started,bundle,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors",1427959088698
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1427959109703
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1427959109734
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1427959109788
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1427959110028
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1427959110094
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1427959110153
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1427959110211
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1427959110213
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1427959110599
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1427959110625
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1427959110711
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1427959110844
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1427959110917
opened,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1427959111018
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1427959111248
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1427959111258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959111281
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1427959112713
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1427959112795
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1427959112815
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1427959112908
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1427959112913
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1427959112926
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1427959112965
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1427959113032
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1427959113094
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1427959113155
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1427959113674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959202076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959202819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959628283
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427959630225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959633832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959634957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959677552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959719720
opened,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1427959726381
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1427959726451
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1427959733104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959742202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959743180
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1427959744077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1427959746185
started,bundle,org.eclipse.mylyn.java.tasks,3.8.2.v20120916-1200,"org.eclipse.mylyn.java.tasks",1427959746201
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1427959747150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1427959756304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427959761420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959784791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427959792371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427960037260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427960071683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427960081580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427960106693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427960107948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427960353014
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1427960360050
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1427960367297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427960374468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427960376842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427960382478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427960386908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427960391206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427960392303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427960393129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427963865451
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427963867710
