what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428416693634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428416694671
opened,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1428416703934
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1428416703977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428416706899
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428416708373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428416711395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428416784098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428416785729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428417268326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428417269479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428417273747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428417277566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428417369142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428417369706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428417453987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428417455917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428417762126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428417766756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428417809598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428417820115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428417821522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428417834899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428417837319
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1428417840590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428417851322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428417908804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428417911300
