what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403096085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403097944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428403118858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428403330933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403331706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403381003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403382848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403413678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403414614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403417096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403417546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403428827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403430670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403432300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403432883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403439290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403440035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403441211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403443398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403444499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403458749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403459472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403460236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403467543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403468887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403479598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403492082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403507689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403511288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403517802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1428403531027
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1428403539441
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1428403542572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428403571758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403620967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403654617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403662271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403665987
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428403671717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403686980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403830743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403831771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403861602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1428403870251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428403881651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428403883369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403902167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403941401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403943702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403957275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428403958773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428404035015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428404037210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428404070645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428404078497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1428404078517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428404084053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428404088536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428404089243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428404090362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428404093917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428404096757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428404100271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428404109393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428404113756
