what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428487525118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428487525859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428487527274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428487528311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428487540042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1428487552154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428487555099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428487558840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428487582332
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428487585248
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428487588378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428487589606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428487603860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428487608372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428487626899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428487628662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428487629686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428487655596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428487659608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428487720247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428487726515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428487727642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428487743862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428487781649
