what,kind,bundleId,bundleVersion,description,time
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1426852329002
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1426852333269
opened,editor,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare.CompareEditor",1426852377369
activated,editor,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare.CompareEditor",1426852377391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426852377770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426852378035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426852694484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426852865342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853115299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853175169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1426853182807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853183266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853192619
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1426853299326
closed,editor,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare.CompareEditor",1426853299326
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1426853303540
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1426853307955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853315694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1426853315714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853316569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853319162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1426853319172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853323269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853332167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1426853332192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853337451
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1426853342269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853350136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1426853350155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853365036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1426853374763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426853377381
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1426853379125
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1426853382038
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1426853402900
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1426853424777
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1426853488020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1426853505167
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1426853506602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426853509855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426853522906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853698430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853699926
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1426853743333
closed,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1426853743333
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1426853744392
closed,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1426853744392
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1426853746186
opened,editor,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare.CompareEditor",1426853780971
activated,editor,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare.CompareEditor",1426853780996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853781341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853781659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853981532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853982397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426853983841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426854066807
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1426854072546
closed,editor,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare.CompareEditor",1426854072546
